Year,Acousticness,Danceability,Energy,Liveness,Loudness,Speechiness,Valence,Popularity
1921,0.888259829,0.440682051,0.254308547,0.218086752,0.728487322,0.080382479,0.458226496,0.384615385
1922,0.937528571,0.483182143,0.2464195,0.243574286,0.685586369,0.1162775,0.540525,0.142857143
1923,0.97355439,0.568374747,0.248993737,0.232234444,0.762156047,0.10017698,0.623398182,0.8521212121
1924,0.93321586,0.550870778,0.35102232,0.235279369,0.764641875,0.091022026,0.671955947,0.1017621145
1925,0.963624656,0.566085399,0.266970386,0.248613705,0.75730889,0.115566804,0.606502204,0.323553719
1926,0.727780135,0.554758676,0.237894223,0.236749869,0.722008838,0.316298426,0.483911977,0.1819612591
1927,0.933970598,0.649870884,0.254177036,0.168608117,0.754627455,0.117086886,0.661196072,0.0918544194
1928,0.936035266,0.564511986,0.223410116,0.180141093,0.726543591,0.157099936,0.546194662,0.2423855165
1929,0.582786707,0.64801408,0.24036286,0.237357206,0.721931559,0.495101608,0.639178936,0.123059867
1930,0.944192361,0.509702472,0.327209365,0.21777429,0.788413387,0.080026537,0.618718989,0.931754089
1931,0.882295395,0.557947697,0.257969331,0.242464474,0.733103618,0.239717763,0.573302796,0.220394737
1932,0.939925652,0.560375229,0.304082382,0.236388901,0.77760752,0.142625546,0.592038724,0.2310782241
1933,0.904622883,0.598730499,0.286486536,0.21091036,0.786395496,0.097018169,0.630206746,0.101734694
1934,0.88989583,0.526054159,0.260975113,0.214108446,0.750559284,0.107008027,0.563139877,0.1065764023
1935,0.776310323,0.553705684,0.245987055,0.229010862,0.740820681,0.363263638,0.54411196,0.1428571429
1936,0.783879475,0.521831489,0.307423713,0.229364034,0.766718772,0.231148962,0.538758904,0.5780821918
1937,0.893950476,0.537381633,0.297414721,0.223721701,0.774240427,0.093017687,0.590096327,0.4204081633
1938,0.91936015,0.475462579,0.283270314,0.237094025,0.76034924,0.096422421,0.514989925,0.1881132075
1939,0.877669808,0.510990747,0.302408659,0.235464397,0.769463868,0.131205164,0.56271074,0.4968306011
1940,0.83630632,0.52225088,0.306583745,0.269616485,0.767783659,0.26094591,0.614192885,0.0800326442
1941,0.896612595,0.479114649,0.264312254,0.202937189,0.737603946,0.095346865,0.47976973,0.1334054054
1942,0.852148869,0.467860014,0.257758025,0.216365111,0.752284983,0.086653929,0.46848092,0.1217861976
1943,0.915471661,0.467897196,0.274753862,0.235301603,0.773309054,0.113565759,0.515919658,0.1328525641
1944,0.892014133,0.509698686,0.262099304,0.235326938,0.759331302,0.173209921,0.551452957,0.2948751643
1945,0.678454416,0.532213168,0.231727741,0.204026218,0.720610124,0.336219146,0.509378735,0.2282988004
1946,0.922732184,0.405930365,0.21005474,0.210733675,0.70917787,0.088888528,0.380461178,0.2558303887
1947,0.914678985,0.47212675,0.258631693,0.223303082,0.757398202,0.101979767,0.504055427,0.1476221929
